Id,SalePrice
2658,148405.87728039784
2718,192817.9758203753
2414,210385.65160665207
1989,114320.99876286506
625,175610.16661928338
333,103472.14435726032
1327,102717.77639625887
858,140861.58930215574
95,189139.07369445683
1568,151029.42952627278
2482,161990.38076033504
1364,109669.31760913474
2584,148456.9627652633
818,292619.642945107
2673,153961.96468531922
2089,123674.51335353348
1297,161850.82340193578
790,113324.76906839902
2616,187998.06034618153
720,204742.2629625035
222,147127.82576765143
557,124415.70395968918
1148,199877.79709878832
2766,169802.52312858278
534,177941.46000568397
1452,110012.96766216744
630,143229.500557263
2648,146243.37754273083
125,163967.73686516404
1904,65729.24699890334
1670,103985.55843377966
756,89823.13143512349
717,253458.88700646017
1032,165694.10482602246
852,207614.30280618882
1731,167515.84840794167
2639,139751.04639259414
2071,76916.05197405966
1267,132612.0646530089
1851,180659.13351218542
567,157714.29866363533
2439,210468.40248928108
1898,150652.95026169205
647,160574.94500919813
2256,230221.11323894517
979,109323.47902414319
1444,221567.75600530367
2485,113247.22926223243
157,121307.32807563423
88,121463.88556615327
2003,106987.44151032237
186,200151.57901192506
1425,251595.72879095474
2695,129956.81500600881
738,113392.58170568579
395,142314.46737066758
1353,166665.84714685095
1878,138338.56728182526
390,155427.8450073878
1456,238846.36293768743
1103,333088.88716766244
1387,129179.6551875291
2070,145679.86553212893
1199,172738.314871687
2479,179371.60791144293
501,319710.53670726204
2362,91211.12601889747
1718,224640.0663326613
2188,99388.36563138277
1483,176844.0649421581
2557,86469.95260055969
437,357094.2804905643
2224,189915.8986170991
1628,176237.55095514588
397,131215.46682437963
587,199036.2790642853
2182,856288.4943544688
971,133412.81399879046
2611,150262.05240070648
1887,85404.02931968194
2399,375256.6489872713
2148,197977.19074521563
304,120231.12787073173
1997,134497.17636467848
2817,128571.7176634679
1431,193724.53915935493
427,371229.0110912884
263,118960.43783114634
598,172382.80395973098
2895,221320.3062946625
687,124507.04831763619
1822,130552.37997689357
2191,105209.61743543274
179,128504.02863777832
1009,227443.25841650396
2010,119993.12515986452
1991,145843.66982604636
1411,174057.88651637651
1721,243194.92465634292
1144,193913.88226680047
593,220712.2092587521
575,323760.73199084064
1249,167496.47358121525
1604,118636.55947018153
1064,507965.2096606995
1923,159819.2480551547
1988,102218.59130714544
2325,170001.06072152438
